
Axis,findpeaks,findpeaks_above_zero,double_findpeaks,zero_cross,Sensor
Z,-314,-193,28,-2,accel_data
Y,-109,-78,76,-14.5,accel_data
X,-254,-250,47,27.5,accel_data
Relative Altitude,-32,-14,120,77.5,bar_data
Pressure,-34,-24,100,77.5,bar_data
Z,-238,-86,65,72,gyro_data
Y,-198,-76,81,-21.5,gyro_data
X,-39,54,119,87.5,gyro_data
Z,12,68,131,106.5,grav_data
Y,-71,-59,112,106.75,grav_data
X,-74,5,93,87.5,grav_data
qz,-35,29,114,128,orient_data
qy,-35,67,145,116,orient_data
qx,-105,18,132,133.25,orient_data
qw,-2,73,134,126.75,orient_data
roll,-66,-34,114,84.5,orient_data
pitch,-69,17,104,88.75,orient_data
yaw,-77,-7,112,69,orient_data
